Year,State,Evs,Infrastructure,Electricity_Price,Gas_Price,Median_Income,Political_Control,Car_Price_Difference,Lithium_Price,EV_Range,Combined_EV_Tax_Credit,Motor_Fuel_Tax,HOV_Access
2014,WI,0.8659,0.5286,14.13,2.6037,70250,0.2626,2958,356,84,7500,30.9,0
2015,WI,2.0674,0.6527,14.87,1.6852,67090,0.2559,1539,325,90,7500,30.9,0
2016,WI,4.3446,0.7813,14.76,1.4097,71770,0.2492,6108,298,218,7500,30.9,0
2017,WI,5.9065,0.8583,15.09,1.6392,74850,0.2559,3021,261,194,7500,30.9,0
2018,WI,7.9003,0.9591,14.94,1.9026,72390,0.2626,1504,229,213,7500,30.9,0
2019,WI,10.2517,1.2211,15.26,1.7843,76720,0.4226,18661,211,239,7500,30.9,0
2020,WI,12.6579,1.4059,14.8,1.1897,75980,0.5825,3897,190,259,7500,30.9,0
2021,WI,17.8147,1.614,15.12,2.0539,75420,0.5724,11281,169,234,7500,30.9,0
2022,WI,25.855,1.8402,16.19,2.574,73330,0.5623,17197,153,257,7500,30.9,0
2014,WV,0.2974,0.5461,9.7,2.6131,47840,0.6102,2958,356,84,7500,34.7,0
2015,WV,0.4126,0.3692,10.98,1.6191,51840,0.5923,1539,325,90,7500,34.6,0
2016,WV,0.5461,0.5243,11.89,1.3933,53220,0.5743,6108,298,218,7500,33.2,0
2017,WV,0.7595,1.0952,11.96,1.6187,55370,0.4241,3021,261,194,7500,35.7,0
2018,WV,1.2914,1.175,11.27,1.8868,58460,0.2739,1504,229,213,7500,35.7,0
2019,WV,2.2989,1.3615,12.05,1.7512,61170,0.2309,18661,211,239,7500,35.7,0
2020,WV,3.3881,1.4401,13,1.2089,58580,0.1878,3897,190,259,7500,35.7,0
2021,WV,5.5847,1.7196,13.67,2.0667,50500,0.1335,11281,169,234,7500,35.7,0
2022,WV,8.8386,2.1758,14.4,2.6147,52460,0.0792,17197,153,257,7500,35.7,0
2014,WY,0.309,0.2918,11.17,2.5949,67360,0.0944,2958,356,84,7500,24,0
2015,WY,0.4098,0.5464,11.56,1.6895,73750,0.0861,1539,325,90,7500,24,0
2016,WY,0.6847,1.0784,11.56,1.3913,69390,0.0778,6108,298,218,7500,24,0
2017,WY,1.0882,1.5719,11.61,1.6596,70200,0.0806,3021,261,194,7500,24,0
2018,WY,2.1468,2.0949,11.08,1.9889,72290,0.0833,1504,229,213,7500,24,0
2019,WY,3.8704,2.7473,11.47,1.8248,74190,0.0722,18661,211,239,7500,24,0
2020,WY,5.5222,2.9775,11.69,1.3088,73780,0.0611,3897,190,259,7500,24,0
2021,WY,7.8855,3.1749,11.69,2.2749,76620,0.0547,11281,169,234,7500,24,0
2022,WY,12.1899,3.6621,12.01,2.6547,73090,0.0484,17197,153,257,7500,24,0
